songtitle,artist/bandname,year,lyricsurls,lyrics
Come Rain Or Come Shine,"Davis Jr., Sammy",1955,https://www.azlyrics.com/lyrics/sammydavisjr/comerainorcomeshine.html,"[""I'm gonna love you like nobody's loved you"", 'Come rain or come shine', 'High as a mountain and deep as a river', 'Come rain or come shine', 'I guess when you met me', 'It was just one of those things', ""But don't ever bet me"", ""'Cause I'm gonna be true if you let me"", ""You're gonna love me like nobody's loved me"", 'Come rain or come shine', 'Happy together, unhappy together', ""And won't it be fine"", 'Days may be cloudy or sunny', ""We're in or we're out of the money"", ""But I'm with you always"", ""I'm with you rain or shine""]"
Thursday's Child,Eartha Kitt,1957,https://www.azlyrics.com/lyrics/earthakitt/thursdayschild.html,"[""Monday's child is fair of face"", ""And Tuesday's child is full of grace"", ""Wednesday's child is full of woe"", ""But Thursday's child has far to go"", ""Things look mighty black for Thursday's child"", ""Trouble docks the track of Thursday's child"", 'This world could be a wonderful place', ""But not when you wear Thursday's face"", ""I never know which way I'm bound, I'm Thursday's child"", ""Heartbreak hangs around for Thursday's child"", ""I'll always be blamed for what I was named"", ""But still I'm not ashamed, I am Thursday's child"", ""I never know which way I'm bound, I'm Thursday's child"", ""Heartbreak hangs around for Thursday's child"", ""I'll always be blamed for what I was named"", ""But still I'm not ashamed, I am Thursday's child""]"
Sunday Blues,"London, Julie",1957,https://www.azlyrics.com/lyrics/julielondon/sundayblues.html,"[""I ain't gonna get those Sunday blues no more"", ""I ain't gonna walk that lonesome tear-stained floor"", 'I never knew much about love', 'Till you walked into my heart', ""I wasn't happy without love"", ""But at least I wasn't torn apart"", ""On Saturday night you swear you're mine alone"", ""Then Sunday arrives and you don't even phone"", ""I know you're gonna come knockin'"", ""But I ain't gonna answer the door"", ""I ain't gonna get those Sunday blues no more""]"
Love Is The Thing,Nat King Cole,1957,https://www.azlyrics.com/lyrics/natkingcole/loveisthething.html,"['Love is the thing', ""What does it matther if we're rich"", 'Or we are poor?', 'Fortune and fame they never endure', 'Oh love is the thing, love is the thing!', 'What good is money if your heart is all right?', ""Here in your arms I'm wealthy tonight"", 'For youth has its flame', 'Love is the thing!', 'While others fight for power', 'We can walk among the flowers', 'Knowing that the best thing in life', 'Is a thing that is free', 'Love for you and me', 'And even though our castles crumb and fall', 'We have the right to laugh at them all', 'For love is still keen', 'Love is the thing!']"
Sweet And Lovely,Faron Young,1958,https://www.azlyrics.com/lyrics/faronyoung/sweetandlovely.html,"['(Sweet sweet sweet sweet)', 'Sweet and lovely sweeter than the roses in May', 'Sweet and lovely heaven must have sent her my way', 'Skies above me never were as blue as her eyes', 'And she loves me who would want a sweeter surprise', '(When she nestles in my arms so tenderly', ""There's a thrill that words cannot express"", 'In my heart a song of love is taunting me', 'Melody haunting me)', 'Sweet and lovely sweeter than the roses in May', 'And she loves me there is nothing more I can say', '(Sweet sweet sweet sweet)', '(When she nestles in my arms so tenderly', ""There's a thrill that words cannot express"", 'In my heart a song of love is taunting me', 'Melody haunting me)', 'Sweet and lovely sweeter than the roses in May', 'And she loves me there is nothing more I can say', '(Sweet sweet sweet sweet)']"
Rescue The Perishing,Eddy Arnold,1958,https://www.azlyrics.com/lyrics/eddyarnold/rescuetheperishing.html,"['Rescue the perishing, care for the dying', 'Snatch them in pity from sin and the grave', ""Weep o'er the erring, one lift up the fallen"", 'Tell them of Jesus the mighty to save', 'Rescue the perishing, care for the dying', 'Jesus is merciful Jesus will save', 'Though they are slighting him still he is waiting', 'Waiting the penitent child to receive', 'Plead with them earnestly, plead with them gently', 'He will forgive if they only believe', 'Rescue the perishing, care for the dying', 'Jesus is merciful, Jesus will save', 'Rescue the perishing, duty demands it', 'Strength for thy labor the Lord will provide', 'Back to the narrow way patiently win them', 'Tell the poor wanderer a Saviour has died', 'Rescue the perishing, care for the dying', 'Jesus is merciful Jesus will save...']"
Ill Wind,"Holiday, Billie",1958,https://www.azlyrics.com/lyrics/billieholiday/illwind.html,"['Blow,', 'Ill wind blow away', 'Let me rest today', ""You're blowing me no good"", 'No good', 'Go', 'Ill wind go away', 'Skies are oh so gray', 'Around my neighborhood', ""And that's no good"", ""You're only misleading"", ""The sunshine I'm needing"", ""Ain't that a shame"", ""It's so hard to keep up"", 'With troubles that creep up', 'From out of nowhere', ""When love's to blame"", 'So', 'Ill wind blow away', 'Let me rest today', ""You're blowing me no good"", 'No good', 'No good', ""You're only misleading"", ""The sunshine I'm needing"", ""Ain't that a shame"", ""It's so hard to keep up"", 'With troubles that creep up', 'From out of nowhere', ""When love's to blame"", 'So', 'Ill wind go away', 'Let me rest today', ""You're blowing me no good"", 'No good', 'Ill wind']"
Between The Devil And The Deep Blue Sea,"Como, Perry",1958,https://www.azlyrics.com/lyrics/perrycomo/betweenthedevilandthedeepbluesea.html,"[""I don't want you, "", 'But I hate to lose you,  ', 'You got me in between  ', 'The devil and the deep blue sea!  ', 'I forgive you, ', ""'Cause I can't forget you,  "", 'You got me in between  ', 'The devil and the deep blue sea!  ', 'I ought to cross you off my list, ', ""But when you come a knockin' at my door  "", 'Fate seems to give my heart a twist  ', ""And I keep runnin' back for more! "", 'I should hate you, ', 'But I guess I love you,  ', 'You got me in between  ', 'The devil and the deep blue sea!  ', '[instrumental bridge]', 'You got me in between  ', 'The devil and the deep blue sea!  ', '[instrumental bridge]', 'Hmm, you got me in between  ', 'The devil and the deep blue sea!  ', 'I ought to cross you off my list, ', ""But when you come a knockin' at my door  "", 'Fate seems to give my heart a twist  ', ""And I keep runnin' back for more! "", 'Hmm, I should hate you, ', 'But I guess I love you,  ', 'You got me in between  ', 'The devil and the deep blue sea!  ', 'You got me in between  ', 'The devil... and the deep blue sea!... and the deep blue sea!']"
Santa Claus Is Comin' To Town,Perry Como,1959,https://www.azlyrics.com/lyrics/perrycomo/santaclausiscomintotown.html,"['You better watch out, better not cry', ""Better not pout, I'm tellin' you why"", ""Santa Claus is comin' to town!"", ""He's makin' a list an' checkin' it twice"", ""Gonna find out who's naughty or nice"", ""Santa claus is comin' to town!"", ""He sees you when you're sleepin'"", ""He knows when you're awake"", ""He knows if you've been bad or good"", 'So be good for goodness sake!', 'So, you better watch out, you better not cry', ""Better not pout, I'm tellin' you why"", ""Santa claus is comin' to town!"", 'Say Perry', ""Somebody's ringin' the front doorbell"", 'Shall I answer it? ', ""Oh, tell 'em to go away, Helen"", ""We've got to decorate this Christmas tree!"", 'Where do I connect the lights, Perry?', 'Artie, all you have to do is put the thing in a plug!', ""Say Perry, I can't find a train switch"", 'Know where it is?', 'Bobby, the train switch is always', ""Where it's always been!"", 'Hey Perry, what do ya want for Christmas?', 'Now wait a minute, where are you going?', ""Oh, I'm going out to give a few haircuts"", 'You kids go ahead and sing', ""I'll be right back!"", 'You better watch out, better not cry', ""Better not pout, I'm tellin' you why"", ""Oh! Santa Claus is comin' to town!"", ""He's makin' a list an' checkin' it twice"", ""Gonna find out who's naughty an' nice"", ""Santa Claus is comin' to town!"", ""He sees you when you're sleepin'"", ""He knows when you're awake"", ""He knows if you've been bad or good"", 'So be good for goodness sake!', 'So, you better watch out, you better not cry', ""Better not pout, I'm tellin' you why"", ""Santa Claus is comin' to town!"", ""Santa Claus is comin'"", 'To town!']"
By The Beautiful Sea,Julie London,1959,https://www.azlyrics.com/lyrics/julielondon/bythebeautifulsea.html,"['By the sea, by the sea, by the beautiful sea', ""You and I, you and I, oh how happy we'll be"", ""When each wave comes a-rolling in, we'll duck or swim"", ""And we'll float and fool around the water"", 'Over and under and then up for air', 'Pa is rich, ma is rich, so now what do we care?', 'I love to be beside your side, beside the sea, beside the seaside', 'By the beautiful sea', '...']"
