DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
80806,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2011,"Watergate East, Inc.","2500 Virginia Avenue, N.W.",20037,Multifamily Housing,1966,"400,000",28.2,94,0,1594.09,3295396,
80808,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,2011,Watergate Building,2600 Virginia Avenue,20037,Office,1963,"217,716",0,,0,0,,
80811,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,2011,0600 New Hampshire Avenue NW (Watergate),600 New Hampshire Ave NW,20037,Office,1972,"266,215",0,,0,0,,
140068,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,2011,Westbridge Office Building,2550 M Street NW,20037,Office,1978,"208,325",67.1,226.4,81,1980.52,4099016.5,
240112,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,2011,WWF,"1250 24th Street, NW",20037,Office,1985,"331,053",68.1,213.7,82,2222.6,5143987,
240113,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2011,American College of Cardiology Heart House,2400 N Street NW,20037,Office,1985,"219,951",82.2,249.9,61,1712.1,3885859,6244.538
240870,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2011,"Fairmont Washington, D.C., Georgetown","2401 M Street, NW",20037,Hotel,1985,"388,390",126.1,300,22,4867.6,9086807,177354.232
240871,2445 M ST NW,WRIT 2445 M LLC,2,2011,2445 M Street,2445 M Street N.W.,20037,Office,1986,"321,803",77.1,265.9,79,3515.41,7275747.3,
250808,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2011,2400 M Street,2400 M STREET NW,20037,Multifamily Housing,2006,"267,750",0,,0,0,,
251782,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2011,The Columbia Residences,2425 L Street NW,20037,Multifamily Housing,2006,"549,021",0,,0,0,,
310837,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2011,Potomac Plaza,"2475 Virginia Avenue, N.W.",20037,Multifamily Housing,1957,"316,550",0,,0,0,,
330087,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2011,Columbia Plaza All Bldgs,2400 Virginia Ave NW,20037,Multifamily Housing,1968,"988,819",0,,0,0,,
360048,2300 N ST NW,TR 2300 N STREET CORP,2,2011,2300 N Street,2300 N Street,20037,Office,1986,"440,964",96.2,,46,3710.6,8587619,
360859,1201 24TH ST,HYATT EQUITIES LLC,2,2011,Park Hyatt Washington,1201 24th Street NW,20037,Hotel,1986,"421,400",88.5,,26,3472.8,7069567,78770.59
410040,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2011,Ross Hall,"2300 I St, NW",20052,College/University,1973,"420,653",710.1,951.1,0,20596.99,15586360.4,2453816.6
430026,616 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,2011,Ivory Tower,"616 23rd St, NW",20052,College/University,2004,"283,531",89.6,228.2,31,0,5093633.8,78195.2
500085,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,2011,Embassy Suites Hotels,1250 22nd street NW,20037,Hotel,1987,"306,123",35.9,37.6,100,584.79,0,109922.9
500086,1255 23RD ST,CAPITOL 50 ASSOCIATES,2,2011,Floyd Akers Building (DDOE),1255 23rd Street NW,20037,Office,1983,"347,805",60.2,200.9,84,2967.32,6141375,
560030,2201 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,2011,"Funger, Duques, & Tompkins Halls","2201 G St and 725 23rd St, NW",20052,College/University,1970,"344,663",110.1,282.3,0,4291.54,7534905.2,122352.2
670059,2100 MASSACHUSETTS AV,NOIRO SOUTH LLC,2,2011,Fairfax at Embassy Row,2100 Massachusetts Ave NW,20008,Hotel,1927,"222,519",112,235,44,2204.7,3633695,119567.646
700195,1200 NEW HAMPSHIRE AV NW,N H STREET PARTNERS HOLDINGS LLC,2,2011,1200 New Hampshire,1200 New Hampshire Avenue,20036,Office,1979,"386,378",0,,0,0,,
713159,1177 22ND ST NW,22 WEST CONDO,2,2011,22 West A Condominium,"1177 22nd St, NW",20037,Multifamily Housing,2008,"225,414",77.7,181,0,1759.95,2743963.6,81606.7
720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2011,2100 M Street,"2100 M Street, NW, Suite 620",20037,Office,1969,"325,821",57.1,195.2,84,2635.44,5454487.4,
720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2011,2100 M Street II,2100 M Street,20037,Office,1969,"325,821",0,,0,0,,
720076,2101 L ST NW,CESC 2101 L STREET LLC,2,2011,2101 L St NW,2101 L St NW,20037,Office,1975,"475,836",77.7,244,75,3752.8,8685352,
730084,2121 - 2115 K ST NW,2121 K LLC,2,2011,2121 K Street,2121 K Street NW,20037,Office,1981,"224,547",50,156.1,83,1225.7,2836811,
760083,2021 K ST NW,2021 K L.L.C,2,2011,"2021 K Street, NW","2021 K St, NW",20006,Office,1972,"205,579",101.1,317.3,51,1901.5,4400857,
760085,2000 L ST NW,TRIZECHAHN LLC - 2000 L STREET,2,2011,2000L,2000L St N.W,20036,Office,1968,"427,334",0,,0,0,,
760091,2001 K ST NW,2001 K STREET LLC,2,2011,2001 K St,2001 K St NW,20006,Office,1998,"282,955",83.2,277.9,63,3333.49,6899230,
770059,0801 22ND ST NW,GEORGE WASHINGTON UNIVERSITY,2,2011,Academic Center,"801 22nd St, NW",20052,College/University,1982,"249,606",118.9,318.1,0,3469.44,6265366.7,83123.4
770060,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,2011,Marvin Center,"800 21st St, NW",20052,College/University,1970,"325,060",148.5,327.2,0,4864.83,7611810.4,222521.9
780847,2020 K ST NW,2020 K CORPORATION,2,2011,2020 K Street,2020 K Street N.W.,20006,Office,1976,"419,991",75.2,253.4,69,4782.73,9259314.3,
790064,2130 H ST,GEORGE WASHINGTON UNIVERSITY,2,2011,Gelman Library,2130 H St.,20052,Office,1973,"244,288",84.1,271.4,0,2907.89,6018378,
800056,2135 F ST,GEORGE WASHINGTON UNIVERSITY,2,2011,Residence Hall at Square 80,"2135 F St, NW",20052,College/University,2009,"214,829",98.3,219.5,55,2095.65,3223479.6,101159.2
850060,1909 K ST NW,NINA JO ASSOCIATES LLC,2,2011,The Millennium Building,1909 K Street,20006,Office,1999,"242,937",72.8,245.3,76,2504.62,5183746.5,
850844,1999 K ST,DEKA USA K STREET LP,2,2011,1999 K Street NW,1999 K Street NW,20006,Office,2009,"330,374",61,189.7,77,2196.1,5049980,2649.156
860042,1990 K ST NW,CONSORTIUM TWO 1990 K ST LLC,2,2011,1990 K Street,1990 K Street,20006,Office,1977,"269,000",71.7,239.6,67,2732.37,5654417,
940031,2015 MASSACHUSETTS AV NW,AREP EMBASSY ROW LLC,2,2011,2015 Massachusetts Avenue NW,2015 Massachusetts Avenue NW,20036,Hotel,1900,"283,072",42.7,124.7,85,1460.21,2709721,28376
990049,2000 N ST NW,ASN DUPONT CIRCLE LLC,2,2011,The Flats of Dupont Circle,2000 N St NW,20036,Multifamily Housing,1967,"423,631",40.5,105.8,0,1956.8,3462529.8,53348.7
990053,2001 M ST NW,POST OFFICE BOX ASSOCIATES LLC,2,2011,2001 M Street,2001M St. N.W.,20036,Office,1986,"246,096",0,,0,0,,
1000116,1120 20TH ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,2011,Lafayette Center One,"1120 20th Street, NW",20036,Office,1983,"377,654",0,,0,0,,
1000118,1155 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,2011,Lafayette Center Three,1155 21st Street NW,20036,Office,1986,"345,109",0,,0,0,,
1000897,2000 M ST NW,CASTLE FAMILY LP,2,2011,2000 M Street,2000 M Street NW,20036,Office,1971,"318,867",0,,0,0,,
1010058,2000 - 2040 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2011,2000 Pennsylvania Avenue,2000 Pennsylvania Avenue,20006,Office,1982,"407,245",0,,0,0,,
1040835,2020 F ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,2,2011,2020 F Street NW,2020 F Street NW,20006,Multifamily Housing,1900,"260,159",90.7,152,0,1781.59,1743062,176577.9
1050844,1815-1821 PENNSYLVANIA AV,CTTWB ASSOCIATES LP,2,2011,CTTWB,1875 Pennsylvania Avenue,20006,Office,2005,"354,331",51.8,171.7,86,2600.76,5382717.7,
1050845,1801 PENNSYLVANIA AV,1801 PA AVE LLC,2,2011,1801 Pennsylvania Ave.,1801 Pennsylvania Ave.,20006,Office,1991,"280,001",89.4,280.7,53,0,5633123,
1060048,1800 K ST NW,"RAR2-1800 K ST NW -DC,INC",2,2011,1800 K Street,"1800 K Street, NW",20006,Office,1969,"224,864",79.7,282.8,51,2536.64,5250019.8,
1060049,1835 I ST NW,CARR CRHP PROPERTIES LLC,2,2011,International Square,"1875 Eye Street, NW",20006,Office,1978,"1,177,174",51.3,173.4,87,8548.5,17692592,
1070062,1825 K ST NW,CALVIN CAFRITZ ENTERPRISES,2,2011,1825 K Street,1825 K Street NW,20006,Office,1966,"254,527",73.1,189.7,81,2098.37,3673203.6,60825.5
1070075,1801 K ST,BLENHEIM DC LLC,2,2011,Blenheim DC I LLC,"1801 K Street, NW",20006,Office,1971,"607,433",47.5,162.4,90,4084.05,8452640.4,
1070077,1845 K ST,333 MARKET EXCHANGE TWO LLC AND 123 MA EXCHANGE ONE LLC,2,2011,1875 K,"1875 K Street, NW",20006,Office,2002,"204,217",65.7,219.4,80,1899.5,3931338.3,
1150085,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,2,2011,1333 New Hampshire Ave.,"1333 New Hampshire Ave., NW",20036,Office,1978,"325,215",0,,0,0,,
1160073,1919 M ST NW,1919 M STREET ASSOCIATES,2,2011,1919 M Street,"1919 M Street, NW",20036,Office,1967,"368,882",78.8,247.4,60,2967.1,6867001,
1160077,1200 19TH ST,HINES 1200 NINETEENTH STREET LLC,2,2011,Hines 1200 Nineteenth Street Benchmarking,1200 19th St. NW,20036,Office,1964,"337,192",0,,0,0,,
1220029,1957 E ST,GEORGE WASHINGTON UNIVERSITY,2,2011,Elliott School,"1957-1959 E St, NW",20052,Office,2002,"254,162",87.8,218.1,0,0,4448907.5,69870.6
1260057,1776 K ST NW,RIDDELL PROPERTIES INC,2,2011,1776 K Street NW,1776 K Street NW,22202,Office,1969,"269,993",84.4,212.4,65,2159.4,3762740,
1260060,1775 I ST NW,L&B 1775 I STREET INC,2,2011,"L&B 1775 Eye Street, LLC","1775 Eye Street, NW",20006,Office,1969,"276,356",66,206,73,1715.6,3954801,1279.442
1260061,1727 I ST NW,FARRAGUT CENTER LLC,2,2011,Farragut Center,"1725 Eye Street, NW",200062407,Office,2001,"264,000",0,,0,0,,
1260062,1700-1730 K ST,COMMERCE BUILDING ASSOC & 1730 K ST ASSOC LLC,2,2011,1700 K St NW,1700 K St NW,20052,Office,2005,"523,033",71.5,213.2,76,3613.8,8083616,22798.438
1370056,1800 - 1824 MASSACHUSETTS AV NW,1800 MASSACHUSETTS AVENUE CORP,2,2011,1800 Massachusetts Avenue NW (SEIU),"1800 Massachusetts Avenue, NW",20036,Office,1979,"219,581",64.3,216.3,82,1952.62,3983077.7,5285.6
1380803,1330 CONNECTICUT AV NW,1330 CONNECTICUT AVENUE LLC,2,2011,"1330 Connecticut Ave., NW","1330 Connecticut Ave., NW",22204,Office,1984,"335,990",71.3,233.1,78,3579.48,7016457.8,
1400090,1111 19TH ST NW,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,2,2011,1111 19th St NW,1111 19th St NW,20036,Office,1979,"348,477",72.8,,76,2414,5586933,
1400092,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2,2011,1850 M St.,"1850 M St., NW",20036,Office,1986,"259,948",60.9,202.7,87,2242.29,4640812.7,
1400093,1801 L ST NW,ELEVEN-EIGHTEEN LIMITED PARTNERSHIP,2,2011,1801 L St. N.W.,1801 L St. N.W.,20036,Office,1989,"222,847",0,,0,0,,
1400095,1800 M ST NW,PRISA ACQUISITION LLC,2,2011,1800 M Street,"1800 M Street, NW",20036,Office,1975,"613,352",0,,0,0,,
