DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
80806,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2012,"Watergate East, Inc.","2500 Virginia Avenue, N.W.",20037,Multifamily Housing,1966,"400,000",28.2,103.1,0.00,1595.97,3299826,
80808,2600 VIRGINIA AV NW,GREENPENZ 2600 VIRGINIA AVENUE LLC,2,2012,Watergate Building,2600 Virginia Avenue,20037,Office,1963,"217,716",97.2,195.3,0.00,1813.10,2385906.5,
80811,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,2012,0600 New Hampshire Avenue NW (Watergate),600 New Hampshire Ave NW,20037,Office,1972,"280,211",130.3,334.3,52.00,4406.32,7210210,7022.5
140068,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,2012,Westbridge Office Building,2550 M Street NW,20037,Office,1978,"208,325",58.3,194.8,88.00,1720.21,3560265.9,
"00160093, 00160863",0950 25TH ST NW,CLARIDGE H COOPERTVE,2,2012,950 25th Street Northwest,950 25th Street Northwest,20037,Multifamily Housing,1960,"373,216",46.7,90.3,0.00,1582.05,2173040.2,100019.8
240112,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,2012,WWF,"1250 24th Street, NW",20037,Office,1985,"251,707",64.4,206.3,86.00,2052.50,4750311,
240113,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2012,American College of Cardiology Heart House,2400 N Street NW,20037,Office,1985,"168,891",79.2,240.2,63.00,1654.90,3766720,5170.305
240870,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2012,"Fairmont Washington, D.C., Georgetown","2401 M Street, NW",20037,Hotel,1985,"386,390",128,313.1,17.00,5048.40,9658038,164931.89
240871,2445 M ST NW,WRIT 2445 M LLC,2,2012,2445 M Street,2445 M Street N.W.,20037,Office,1986,"321,803",73,235.6,82.00,3326.63,6885037.8,
250808,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2012,2400 M Street,2400 M STREET NW,20037,Multifamily Housing,2006,"267,750",21.5,61.2,0.00,768.90,1533052.8,5295.5
