,Job,Company,Location,Salary,Job Description,Date Posted,Job Rating,City,State/Zip
0,Business Intelligence Analyst/Training Coordinator,Peraton,"McLean, VA 22102",missing,"Employs data warehouse analysis and design experience, with knowledge of data warehouse methodologies and data modeling.",PostedJust posted,3.2,McLean, VA 22102
1,Data Analyst,Chenega Corporation,"Alexandria, VA 22202 (Aurora Highlands area)",missing,Perform data entry and metadata entry for electronic documents.Assist analyst or government official in obtaining or collecting all documents or information to…,PostedToday,3.6,Alexandria, VA 22202 (Aurora Highlands area)
2,Data Processing Analyst I,"Arrow Electronics, Inc.","Remote in Shenandoah, VA 22849",missing,"Identifies and resolves key issues and patterns from partial/conflicting data.Involved during the different data development stages, including but not limited…",PostedToday,3.5,Remote in Shenandoah, VA 22849
3,Business Analyst III,Fairfax County Government,"Fairfax, VA",missing,At least 5 years of experience in providing application system administration support and troubleshooting technical issues.,PostedToday,4.0,Fairfax, VA
4,Financial Analyst 2-5803,Huntington Ingalls Industries Inc.,"Virginia Beach, VA 23462 (Northwest area)",missing,"Strong computer skills to quickly decompose and analyze data required and to learn company systems.Bachelor’s degree in a related discipline (accounting,…",PostedToday,3.7,Virginia Beach, VA 23462 (Northwest area)
5,Financial Analyst 2,Alion Science and Technology,"Virginia Beach, VA",missing,"Strong computer skills to quickly decompose and analyze data required and to learn company systems.Bachelor’s degree in a related discipline (accounting,…",PostedToday,3.7,Virginia Beach, VA
6,Junior Data Entry Analyst,RemX,"Hybrid remote in Glen Allen, VA 23060",missing,"Previous data entry, data analysis and customer service experience or equivalent combination of education and experience.Ensures accuracy and quality of data.",PostedToday,3.3,Hybrid remote in Glen Allen, VA 23060
7,Quality Assurance Business Analyst,LoanCare,United States,missing,Serve as the primary intake point for new report requests from the Quality Assurance leadership team.Log and document new requests and liaise with various…,PostedToday,2.8,United States,
8,Business Data Analyst,"Imagine One Technology & Management, Ltd.","Norfolk, VA",missing,The individual will assist CPA with the manipulation and analysis of maintenance cost data.The individual must be capable of working independently on complex…,PostedToday,4.0,Norfolk, VA
9,Business Data Analyst,Booz Allen Hamilton,"Suffolk, VA+7 locations",missing,"Provide business clients with detailed, actionable reports documenting the findings from data processing and data analysis for the Knowledge Management Program.",PostedToday,3.9,Suffolk, VA+7 locations
10,Market Data Analyst,National Electrical Manufactures Assoc,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",missing,Analyze data and compile periodical market data reports.Write brief summaries of economic data releases.Answer member questions and assist with online data…,PostedToday,missing,Arlington, VA 22209 (Radnor-Ft Myer Heights area)
11,Business Analyst,Soliel LLC,"Vienna, VA 22182",missing,"Experience working with data analysis and documenting requirements for ETL (Extract, Transform and Load) processes, ideally with Oracle Databases and XML.",PostedToday,4.5,Vienna, VA 22182
12,Clinical Quality Data Management Analyst,Concept Plus,"Remote in Fairfax, VA 22033",missing,Perform data quality checks and discrepancy management to ensure accuracy of the data.Assist with data collection reporting and analysis of multiple clinical…,PostedToday,3.7,Remote in Fairfax, VA 22033
13,Methodological Data Analyst - TS/SCI with Polygraph Required,Logistics Management Institute,"McLean, VA+3 locations",missing,"Develop intuitive dashboards and data visualization products using Tableau or other data visualization tools;3 years of experience discovering, organizing, and…",PostedToday,3.9,McLean, VA+3 locations
