Energy Source,Maryland,Nebraska,North Carolina,Maine,Florida,National Average,Difference,Analysis
TotalC2010,1464503,860741,2685333,415065,4282673,1910827.27,-446324.27,Maryland is below than the National Average
TotalC2011,1410012,862675,2558792,413893,4141711,1898360.06,-488348.06,Maryland is below than the National Average
TotalC2012,1368600,852984,2481060,399670,4029903,1851126.37,-482526.37,Maryland is below than the National Average
TotalC2013,1395961,871815,2530649,409785,4076406,1905074.27,-509113.27,Maryland is below than the National Average
TotalC2014,1400614,864347,2554776,410530,4121680,1929544.49,-528930.49,Maryland is below than the National Average
TotalP2010,250812,399822,576162,151940,510201,1350580.08,-1099768.08,Maryland is below than the National Average
TotalP2011,272882,390808,572796,154764,500907,1431905.98,-1159023.98,Maryland is below than the National Average
TotalP2012,245197,357156,560887,152331,442188,1462214.63,-1217017.63,Maryland is below than the National Average
TotalP2013,248554,370523,606427,155380,542570,1517696.86,-1269142.86,Maryland is below than the National Average
TotalP2014,250058,401699,595660,151257,553738,1622711.55,-1372653.55,Maryland is below than the National Average
TotalE2010,21401.3,8724.6,33119.5,6340.6,59825.6,23763.46,-2362.16,Maryland is below than the National Average
TotalE2011,23062.5,9995.9,36145.8,7425.8,67345.1,27307.04,-4244.54,Maryland is below than the National Average
TotalE2012,22470.7,10138.1,36240.3,7164,66380,26586.84,-4116.14,Maryland is below than the National Average
TotalE2013,22856.9,10323.1,37527.2,7512.4,66108.5,27029.72,-4172.82,Maryland is below than the National Average
TotalE2014,22951.3,10330.1,37283.2,7557.6,66413.6,27356.83,-4405.53,Maryland is below than the National Average
TotalPrice2010,22.83,16.68,20.27,18.77,22.05,19.43,3.4,Maryland is greater than the National Average
TotalPrice2011,25.51,19.3,23.22,21.93,25.41,22.47,3.04,Maryland is greater than the National Average
TotalPrice2012,25.75,19.87,23.79,22.03,25.56,22.77,2.98,Maryland is greater than the National Average
TotalPrice2013,25.47,19.39,23.39,21.86,25.13,22.32,3.15,Maryland is greater than the National Average
TotalPrice2014,25.25,19.26,23.02,22.62,24.91,22.19,3.06,Maryland is greater than the National Average
TotalC10-11,96.28,100.22,95.29,99.72,96.71,99.64,-3.36,Maryland is below than the National Average
TotalC11-12,97.06,98.88,96.96,96.56,97.3,97.53,-0.47,Maryland is below than the National Average
TotalC12-13,102,102.21,102,102.53,101.15,102.72,-0.72,Maryland is below than the National Average
TotalC13-14,100.33,99.14,100.95,100.18,101.11,101.04,-0.71,Maryland is below than the National Average
TotalP10-11,108.8,97.75,99.42,101.86,98.18,108.45,0.35,Maryland is greater than the National Average
TotalP11-12,89.85,91.39,97.92,98.43,88.28,99.53,-9.68,Maryland is below than the National Average
TotalP12-13,101.37,103.74,108.12,102,122.7,103.86,-2.49,Maryland is below than the National Average
TotalP13-14,100.61,108.41,98.22,97.35,102.06,105.52,-4.91,Maryland is below than the National Average
TotalE10-11,107.76,114.57,109.14,117.12,112.57,115.48,-7.72,Maryland is below than the National Average
TotalE11-12,97.43,101.42,100.26,96.47,98.57,98.71,-1.28,Maryland is below than the National Average
TotalE12-13,101.72,101.82,103.55,104.86,99.59,101.5,0.22,Maryland is greater than the National Average
TotalE13-14,100.41,100.07,99.35,100.6,100.46,100.95,-0.54,Maryland is below than the National Average
