State,CBECS Climate Zone
AL,4.447761194029851
AR,3.88
AZ,3.75
CA,3.5697674418604652
CO,1.337837837837838
CT,2.0
DE,3.0
FL,5.0
GA,4.425
IA,1.4141414141414141
ID,1.303030303030303
IL,2.3883495145631066
IN,2.3369565217391304
KS,2.6285714285714286
KY,3.0
LA,5.0
MA,1.8181818181818181
MD,2.869565217391304
ME,1.0
MI,1.3373493975903614
MN,1.0
MO,2.763157894736842
MS,4.559523809523809
MT,1.0
NC,3.75
ND,1.0
NE,1.7096774193548387
NH,1.0
NJ,2.6
NM,2.7758620689655173
NV,2.25
NY,1.3846153846153846
OH,2.2045454545454546
OK,4.012987012987013
OR,2.2777777777777777
PA,1.8955223880597014
RI,2.0
SC,4.166666666666667
SD,1.0
TN,3.536842105263158
TX,4.847058823529411
UT,1.7058823529411764
VA,3.29
VT,1.0
WA,1.9428571428571428
WI,1.0
WV,2.8095238095238093
WY,1.0
